,0,1
0,200,400
1,448,446
2,561,446
3,769,446
4,514,511
5,769,563
6,200,592
7,447,628
8,534,628
9,926,653
10,447,667
11,534,667
12,769,662
13,769,703
14,810,703
15,447,801
16,535,801
17,645,801
18,201,950
19,449,950
20,646,950
21,769,950
22,992,907
